"Município",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"GIRUA",0,0,0,0,0,0,0,0,0,3,17069,"RS"
"GOIANINHA",0,0,0,0,0,0,0,0,0,1,26068,"RN"
"GOIATINS",0,0,0,0,0,0,0,0,0,14,12973,"TO"
"GOIATUBA",0,0,0,0,0,0,0,0,0,6,34312,"GO"
"GOVERNADOR ARCHER",0,0,0,0,0,0,0,0,0,9,10700,"MA"
"GOVERNADOR CELSO RAMOS",0,0,0,0,0,0,0,0,0,6,14229,"SC"
"GOVERNADOR VALADARES",0,0,0,0,0,0,0,0,0,332,280901,"MG"
"GRACA",0,0,0,0,0,0,0,0,0,3,15307,"CE"
"GRANJA",0,0,0,0,0,0,0,0,0,5,54365,"CE"
"GRANJEIRO",0,0,0,0,0,0,0,0,0,3,4425,"CE"
"GRAVATAI",0,0,0,0,0,0,0,0,0,2,275146,"RS"
"GRAVATAL",0,0,0,0,0,0,0,0,0,1,11394,"SC"
"GROAIRAS",0,0,0,0,0,0,0,0,0,3,11012,"CE"
"GUADALUPE",0,0,0,0,0,0,0,0,0,5,10335,"PI"
"GUAIBA",0,0,0,0,0,0,0,0,0,2,99334,"RS"
"GUAICARA",0,0,0,0,0,0,0,0,0,4,11869,"SP"
"GUAIUBA",0,0,0,0,0,0,0,0,0,4,26331,"CE"
"GUAJARA",0,0,0,0,0,0,0,0,0,1,16339,"AM"
"GUAMIRANGA",0,0,0,0,0,0,0,0,0,12,8619,"PR"
"GUARACIABA DO NORTE",0,0,0,0,0,0,0,0,0,5,39445,"CE"
"GUARAMIRANGA",0,0,0,0,0,0,0,0,0,5,3547,"CE"
"GUARAMIRIM",0,0,0,0,0,0,0,0,0,6,42872,"SC"
"GUARULHOS",0,0,0,0,0,0,0,0,0,412,1349113,"SP"
"GUIRATINGA",0,0,0,0,0,0,0,0,0,3,14615,"MT"
"GURUPI",0,0,0,0,0,0,0,0,0,49,85523,"TO"
"HERVEIRAS",0,0,0,0,0,0,0,0,0,1,3070,"RS"
"HIDROLANDIA",0,0,0,0,0,0,0,0,0,3,20215,"CE"
"HORIZONTE",0,0,0,0,0,0,0,0,0,5,65928,"CE"
"HORIZONTINA",0,0,0,0,0,0,0,0,0,2,19338,"RS"
"HUMBERTO DE CAMPOS",0,0,0,0,0,0,0,0,0,139,28509,"MA"
"IBARETAMA",0,0,0,0,0,0,0,0,0,4,13218,"CE"
"IBIAPINA",0,0,0,0,0,0,0,0,0,3,24825,"CE"
"IBICOARA",0,0,0,0,0,0,0,0,0,4,19786,"BA"
"IBICUITINGA",0,0,0,0,0,0,0,0,0,5,12350,"CE"
"IBIRAMA",0,0,0,0,0,0,0,0,0,5,18721,"SC"
"IBIRAPUITA",0,0,0,0,0,0,0,0,0,2,4155,"RS"
"ICAPUI",0,0,0,0,0,0,0,0,0,9,19685,"CE"
"ICARA",0,0,0,0,0,0,0,0,0,7,54845,"SC"
"ICO",0,0,0,0,0,0,0,0,0,5,67486,"CE"
