"NOME_MUNICIPIO",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"BAGE",0,0,0,0,0,0,0,1,1,9,122209,"RS"
"BAIANOPOLIS",0,0,0,2,0,0,0,0,2,2,14323,"BA"
"BALBINOS",0,0,0,0,1,0,3,1,5,7,5188,"SP"
"BALIZA",0,0,0,0,0,0,0,0,0,2,4677,"GO"
"BALNEARIO ARROIO DO SILVA",0,0,0,0,0,0,0,0,0,16,12344,"SC"
"BALNEARIO CAMBORIU",0,0,0,0,0,1,0,1,2,16,135268,"SC"
"BALNEARIO GAIVOTA",0,0,0,1,0,0,0,0,1,1,10413,"SC"
"BALNEARIO PICARRAS",0,0,0,0,4,0,0,0,4,4,21884,"SC"
"BALNEARIO RINCAO",0,0,0,1,0,0,0,0,1,17,12403,"SC"
"BALSA NOVA",0,0,0,0,0,0,0,0,0,22,12602,"PR"
"BANANAL",0,0,0,0,0,0,2,0,2,2,10867,"SP"
"BANDEIRANTE",0,0,0,0,3,0,0,0,3,8,2751,"SC"
"BANDEIRANTES DO TOCANTINS",0,0,0,0,0,0,0,0,0,11,3500,"TO"
"BANZAE",0,0,0,3,0,0,0,0,3,3,13765,"BA"
"BARAO",0,0,0,0,0,0,0,0,0,5,6109,"RS"
"BARAO DE ANTONINA",0,0,0,0,0,0,3,2,5,7,3406,"SP"
"BARAO DE COTEGIPE",0,0,0,0,0,0,0,0,0,4,6763,"RS"
"BARBOSA",0,0,0,0,2,0,5,4,11,17,7251,"SP"
"BARBOSA FERRAZ",0,0,0,0,0,0,0,0,0,28,12300,"PR"
"BARIRI",0,0,0,0,0,0,0,0,0,17,34602,"SP"
"BARRA BONITA",0,0,0,0,1,3,0,3,7,29,36331,"SP"
"BARRA DO CHAPEU",0,0,0,0,1,0,0,1,2,2,5653,"SP"
"BARRA DO CHOCA",0,0,0,7,0,0,0,0,7,7,34121,"BA"
"BARRA DO GARCAS",0,0,0,0,0,0,1,0,1,1,58974,"MT"
"BARRA DO JACARE",0,0,0,0,0,0,0,0,0,6,2828,"PR"
"BARRA DO OURO",0,0,0,0,0,0,0,0,0,8,4544,"TO"
"BARRA DO QUARAI",0,0,0,0,0,0,0,0,0,1,4223,"RS"
"BARRA DO RIBEIRO",0,0,0,0,0,0,0,1,1,3,13365,"RS"
"BARRA DO ROCHA",0,0,0,3,0,0,0,0,3,3,6258,"BA"
"BARRA VELHA",0,0,0,0,0,0,0,0,0,3,27781,"SC"
"BARRACAO",0,0,0,0,0,0,0,0,0,1,10314,"PR"
"BARREIRAS",0,0,0,7,0,0,0,0,7,7,157638,"BA"
"BARRETOS",0,0,0,0,0,0,24,0,24,27,120638,"SP"
"BARRINHA",0,0,0,0,0,0,0,0,0,22,31921,"SP"
"BARRO ALTO",0,0,0,0,0,0,0,8,8,17,15217,"BA"
"BARROLANDIA",0,0,0,0,0,0,0,0,0,4,5643,"TO"
"BARROS CASSAL",0,0,0,0,0,0,0,0,0,7,11486,"RS"
"BARROSO",0,0,0,0,0,0,0,0,0,3,20882,"MG"
"BARUERI",0,0,0,1,0,0,11,0,12,51,267534,"SP"
"BASTOS",0,0,0,0,0,6,5,6,17,23,21073,"SP"
"BATAGUASSU",0,0,4,12,1,0,0,0,17,17,22389,"MS"
"BATATAIS",0,0,0,0,0,0,1,0,1,6,61480,"SP"
"BATAYPORA",0,0,0,0,0,0,0,0,0,5,11248,"MS"
"BAURU",0,0,0,0,3,32,31,2,68,519,371690,"SP"
"BEBEDOURO",0,0,0,0,0,0,4,0,4,74,77761,"SP"
"BELA VISTA DA CAROBA",0,0,0,0,0,0,0,0,0,8,3774,"PR"
"BELA VISTA DE GOIAS",0,0,0,0,0,0,0,0,0,22,28514,"GO"
"BELA VISTA DO PARAISO",0,0,0,0,0,0,0,0,0,9,15656,"PR"
"BELA VISTA DO TOLDO",0,0,0,0,0,0,0,0,0,2,6304,"SC"
"BELMONTE",0,0,0,2,0,0,0,0,2,2,24013,"BA"
"BENEDITO NOVO",0,0,0,0,3,0,0,0,3,21,11425,"SC"
"BENTO DE ABREU",0,0,0,0,0,0,3,3,6,7,2925,"SP"
"BENTO GONCALVES",0,0,0,0,0,0,0,0,0,7,115069,"RS"
"BERNARDO SAYAO",0,0,0,0,0,0,0,0,0,6,4518,"TO"
"BERTIOGA",0,0,0,0,0,0,0,0,0,13,59297,"SP"
"BIGUACU",0,0,0,0,0,0,0,0,0,4,66558,"SC"
"BILAC",0,1,0,0,0,0,0,47,48,77,7837,"SP"
"BIRIGUI",0,4,0,0,0,4,28,74,110,198,120692,"SP"
"BIRITIBA-MIRIM",0,0,0,0,0,0,11,15,26,32,31793,"SP"
"BIRITINGA",0,0,0,4,0,0,0,0,4,4,16653,"BA"
"BITURUNA",0,0,0,0,0,0,0,0,0,20,16627,"PR"
"BLUMENAU",0,0,0,1,0,0,3,0,4,40,348513,"SC"
"BOA ESPERANCA",0,2,0,0,2,0,0,0,4,6,40530,"MG"
"BOA ESPERANCA DO IGUACU",0,0,0,0,0,0,0,0,0,1,2671,"PR"
"BOA NOVA",0,0,0,2,0,0,0,0,2,2,14069,"BA"
"BOA VENTURA DE SAO ROQUE",0,0,0,8,0,0,0,0,8,8,6665,"PR"
"BOA VISTA DA APARECIDA",0,0,0,0,0,0,0,0,0,13,7911,"PR"
"BOA VISTA DO BURICA",0,0,0,0,0,0,0,0,0,3,6829,"RS"
"BOA VISTA DO TUPIM",0,0,0,7,0,0,0,0,7,7,19502,"BA"
"BOCAINA",0,0,0,0,0,0,0,7,7,7,4428,"PI"
"BOCAINA DO SUL",0,0,0,0,4,0,0,0,4,6,3456,"SC"
"BOCAIUVA DO SUL",0,0,0,0,0,0,6,0,6,6,12477,"PR"
"BODOQUENA",0,0,0,0,0,0,0,0,0,4,7820,"MS"
"BOFETE",0,0,0,0,6,0,18,1,25,25,11236,"SP"
"BOITUVA",0,0,0,0,0,0,6,0,6,12,57910,"SP"
"BOM JARDIM",0,0,0,0,0,0,0,0,0,3,41120,"MA"
"BOM JARDIM DA SERRA",0,0,0,0,7,0,0,0,7,11,4694,"SC"
"BOM JESUS",0,0,0,0,0,0,0,0,0,11,24711,"PI"
"BOM JESUS DE GOIAS",0,0,0,0,0,0,0,1,1,9,23998,"GO"
"BOM JESUS DO OESTE",0,0,0,0,1,0,0,0,1,1,2151,"SC"
"BOM JESUS DO SUL",0,0,0,0,0,1,0,0,1,10,3733,"PR"
"BOM JESUS DOS PERDOES",0,0,0,0,0,0,0,0,0,3,24023,"SP"
"BOM RETIRO",0,0,0,0,12,0,0,0,12,23,9796,"SC"
"BOM SUCESSO",0,0,0,0,4,3,1,0,8,13,4972,"PB"
"BOM SUCESSO DE ITARARE",0,0,0,0,0,0,1,0,1,3,3888,"SP"
"BOM SUCESSO DO SUL",0,0,0,0,0,0,2,0,2,6,3358,"PR"
"BONFINOPOLIS",0,0,0,0,0,0,0,0,0,4,9052,"GO"
"BONINAL",0,0,0,2,0,0,0,0,2,2,14760,"BA"
"BONITO",0,0,1,2,0,0,0,0,3,3,15834,"PA"
"BONOPOLIS",0,0,0,0,0,0,0,0,0,3,4143,"GO"
"BOQUIM",0,0,0,1,0,0,0,0,1,3,26961,"SE"
"BORBOREMA",0,0,0,0,0,0,0,0,0,49,5430,"PB"
"BOREBI",0,0,0,0,0,0,2,0,2,8,2577,"SP"
"BORRAZOPOLIS",0,0,0,0,0,0,0,0,0,8,7280,"PR"
"BOSSOROCA",0,0,0,0,0,0,0,0,0,6,6801,"RS"
"BOTUCATU",0,1,0,0,0,0,37,10,48,81,142546,"SP"
"BOTUVERA",0,0,0,0,0,0,0,0,0,7,5100,"SC"
