"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","UF","Population","How many different pesticides over or equal to the limit?"
"BOM JESUS DO SUL",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",3733,9
"CAMPOS DOS GOYTACAZES",0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,46,0,0,1,0,0,"RJ",490288,9
"CHOPINZINHO",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",19911,9
"COLOMBO",0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,4,0,0,4,0,1,0,0,1,"PR",237402,9
"FAXINAL",0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",17306,9
"FAZENDA RIO GRANDE",0,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,3,"PR",95225,9
"IBAITI",0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",31095,9
"ITAIPULANDIA",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",10587,9
"LOURDES",2,0,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,1,0,1,0,0,2,2,0,"SP",2270,9
"PINHAIS",0,2,0,0,3,0,0,0,0,2,3,0,0,0,0,0,3,0,4,0,0,4,0,3,0,0,3,"PR",129445,9
"SAO PAULO",3,0,0,0,0,0,3,0,2,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,7,0,0,"SP",12106920,9
"SUMARE",1,0,0,0,0,0,1,0,2,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0,2,1,0,"SP",273007,9
"TIJUCAS DO SUL",0,4,0,0,4,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,4,0,4,0,0,4,"PR",16348,9
"CAMPINAS",2,0,0,0,0,0,2,0,6,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,"SP",1182429,8
"CARMO DO CAJURU",4,0,0,0,0,8,4,6,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,1,2,0,"MG",22136,8
"LEME",0,2,0,0,0,0,0,0,13,1,1,5,3,5,0,0,0,0,0,0,0,0,0,0,14,0,0,"SP",101184,8
"TRES LAGOAS",0,0,1,0,0,0,0,0,36,0,0,37,0,1,0,0,0,0,0,0,0,4,0,0,15,12,5,"MS",117477,8
"BRASILANDIA",0,0,0,0,0,0,0,0,11,0,0,12,0,0,0,0,1,0,0,0,0,2,0,0,4,6,2,"MS",11864,7
"CACAPAVA",1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,2,1,0,"SP",92587,7
"CAPARAO",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,"MG",5489,7
"GUARAREMA",2,0,0,0,0,0,3,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,"SP",28978,7
"ITUPEVA",0,0,0,0,0,0,3,0,23,0,0,6,5,9,0,1,0,0,0,0,0,0,0,0,44,0,0,"SP",57031,7
"MANTENA",4,0,0,0,0,4,5,3,0,0,0,0,0,7,0,0,0,1,0,4,0,0,0,0,0,0,0,"MG",28132,7
"NOVA LIMA",0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"MG",92178,7
"SAO LOURENCO",0,0,0,3,0,3,0,0,3,2,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,"MG",45457,7
"ALMADINA",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,2,0,0,0,0,0,0,4,2,0,"BA",5985,6
"BATAGUASSU",0,0,0,0,0,0,0,0,16,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,4,4,2,"MS",22389,6
"BONITO",0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,3,3,0,"PA",15834,6
"DIADEMA",1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,"SP",417869,6
"DOURADOS",0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,"MS",218069,6
"GUAPOREMA",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,"PR",2292,6
