"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"SANTA RITA DO PARDO",6,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,4,6,6,6,6,6,6,5,0,6,6,7732,"MS",26
"SANTA ROSA DE LIMA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,0,1,2,3938,"SE",26
"SANTO ANTONIO DE PADUA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,41312,"RJ",26
"SANTO ANTONIO DO JARDIM",1,5,7,5,6,1,1,1,6,4,6,1,7,1,1,1,2,4,4,1,1,6,1,6,0,1,6,6029,"SP",26
"SAO BERNARDO DO CAMPO",18,30,48,34,38,13,21,17,38,29,33,2,40,7,10,3,19,17,17,13,18,38,15,40,0,5,38,827437,"SP",26
"SAO FRANCISCO DO SUL",4,6,4,5,6,5,4,4,2,6,6,4,5,2,2,1,6,6,6,6,6,6,4,6,0,2,6,50701,"SC",26
"SAO GABRIEL",12,17,16,17,17,11,11,11,16,17,17,7,17,7,6,6,16,11,16,11,11,16,11,16,0,6,16,19613,"BA",26
"SAO JOAO DA BOA VISTA",5,11,16,11,7,6,6,6,8,8,5,1,5,2,1,2,5,8,3,6,6,7,4,9,0,2,11,90089,"SP",26
"SAO JOSE DO RIO CLARO",4,5,3,3,3,2,2,5,5,5,4,3,2,3,4,1,2,2,2,2,2,3,2,4,0,3,3,19728,"MT",26
"SAO JOSE DO RIO PARDO",7,46,47,45,44,47,46,49,47,46,46,2,47,2,7,1,45,46,25,46,45,35,29,46,0,17,44,54734,"SP",26
"SAO JOSE DO RIO PRETO",29,29,29,30,29,29,29,31,29,29,29,29,29,31,31,26,29,31,31,31,31,29,31,31,0,31,29,450657,"SP",26
"SAO LEOPOLDO",20,20,26,20,20,8,16,4,20,20,12,4,19,6,12,16,20,16,20,16,8,20,4,25,0,4,20,230914,"RS",26
"SAO PAULO",9,38,44,39,39,4,8,6,39,37,20,1,37,4,3,1,32,9,15,5,6,38,5,15,0,1,39,12106920,"SP",26
"SAPEZAL",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0,4,4,24305,"MT",26
"SEBASTIANOPOLIS DO SUL",15,12,13,9,17,12,12,17,16,12,16,13,20,15,15,14,6,15,15,12,12,17,8,20,0,8,17,3411,"SP",26
"SERTAOZINHO",2,5,5,2,2,2,2,3,5,4,2,2,2,3,3,3,2,3,3,3,3,2,3,3,0,3,5,5044,"PB",26
"SIDROLANDIA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,54575,"MS",26
"SUMARE",7,29,32,29,4,7,7,7,30,29,3,7,4,8,6,6,4,7,3,7,8,4,7,8,0,7,26,273007,"SP",26
"TAPIRATIBA",4,8,8,8,8,6,6,6,8,8,7,3,7,5,4,4,8,6,6,6,6,7,5,7,0,1,7,13062,"SP",26
"TAPURAH",5,5,5,5,5,5,5,5,5,3,2,5,5,4,5,5,5,0,5,5,5,5,5,5,3,5,5,12967,"MT",26
