"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"CORUMBATAI",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4054,"SP",27
"CORUMBATAI DO SUL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3617,"PR",27
"COSMORAMA",24,24,24,22,22,22,22,24,24,24,24,24,24,24,24,22,22,22,22,22,22,22,22,24,24,24,22,7374,"SP",27
"COSTA RICA",12,9,9,9,8,12,8,12,9,9,9,9,9,12,12,12,12,9,12,12,12,10,12,12,11,11,8,20159,"MS",27
"COTIA",2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,237750,"SP",27
"CRISTAIS PAULISTA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8424,"SP",27
"CRUZEIRO DO IGUACU",3,2,2,2,2,4,4,4,3,2,2,4,2,2,2,2,2,2,2,1,2,2,2,3,4,4,2,4369,"PR",27
"CUIABA",50,36,49,36,36,50,50,50,36,36,36,49,36,49,54,50,36,42,36,36,36,36,48,37,51,50,36,590118,"MT",27
"CUNHA PORA",2,1,2,1,1,2,2,2,1,1,1,4,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,11057,"SC",27
"CUNHATAI",4,2,4,2,2,5,5,5,2,2,2,4,2,3,4,2,2,2,2,2,2,2,5,4,3,2,2,1955,"SC",27
"CURITIBA",24,12,12,10,12,18,21,9,9,11,12,15,10,6,7,11,12,13,12,13,13,12,8,12,16,13,12,1908359,"PR",27
"CURITIBANOS",18,17,17,17,17,18,18,18,17,17,17,18,17,16,9,9,17,17,17,17,17,17,18,13,17,10,17,39566,"SC",27
"DIADEMA",9,7,8,7,7,9,8,8,7,7,8,9,8,8,8,9,7,8,7,8,8,7,8,8,9,8,7,417869,"SP",27
"DIONISIO CERQUEIRA",2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,15450,"SC",27
"DIRCE REIS",4,3,5,3,6,4,4,5,4,3,4,4,6,4,4,4,2,4,4,4,4,6,4,5,6,4,6,1785,"SP",27
"DIVINOLANDIA",5,9,15,8,18,4,5,8,10,5,14,4,14,3,2,5,4,5,4,4,4,19,4,14,16,6,17,11384,"SP",27
"DOLCINOPOLIS",3,2,5,2,6,3,3,3,5,2,5,3,6,4,3,3,2,3,3,3,3,6,3,5,6,3,6,2136,"SP",27
"DOURADOS",12,7,7,7,12,12,9,13,7,7,7,8,9,10,12,12,10,9,12,12,10,12,9,10,12,14,9,218069,"MS",27
"DRACENA",9,5,9,10,10,10,10,9,5,5,9,9,9,9,9,9,10,10,10,9,10,10,9,9,9,9,6,46324,"SP",27
"DUARTINA",2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,12549,"SP",27
"DUAS BARRAS",5,2,5,2,2,5,5,4,2,2,2,5,2,4,5,5,2,2,4,2,2,2,4,2,5,5,2,11169,"RJ",27
"ELOI MENDES",2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27730,"MG",27
"EMBU DAS ARTES",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,267054,"SP",27
"ESPERANCA NOVA",2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1852,"PR",27
"ESPIRITO SANTO DO PINHAL",12,9,14,9,13,12,12,12,12,8,12,12,14,12,12,12,8,12,12,12,12,13,12,16,16,12,13,44170,"SP",27
"ESTRELA D'OESTE",4,4,10,4,10,4,4,4,9,4,9,4,10,7,4,7,3,4,4,4,4,10,4,10,10,4,10,8466,"SP",27
"FARTURA",3,2,4,2,4,2,2,2,4,2,4,2,4,3,2,3,2,2,2,2,2,4,2,4,4,2,4,16028,"SP",27
"FATIMA DO SUL",2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,19181,"MS",27
"FERNANDES PINHEIRO",20,20,20,14,20,20,20,20,14,20,20,20,16,16,20,20,20,20,21,20,20,20,20,20,20,20,20,5904,"PR",27
"FERNANDOPOLIS",6,7,12,6,12,7,7,7,10,7,10,7,12,6,7,7,6,7,7,7,7,12,7,12,12,7,11,68670,"SP",27
"FERNAO",2,2,3,2,3,3,3,2,3,2,3,2,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,1691,"SP",27
"FLORAI",4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5103,"PR",27
"FLOREAL",3,3,4,3,6,2,4,3,6,3,6,4,6,5,4,3,2,3,2,4,4,6,5,4,5,2,6,2982,"SP",27
"FLORIDA",1,1,1,1,3,4,3,2,1,1,1,4,4,4,4,2,1,3,4,4,4,3,4,1,3,3,3,2697,"PR",27
"FORQUILHINHA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,25988,"SC",27
"FOZ DO JORDAO",2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,5079,"PR",27
"FRAIBURGO",38,36,38,36,36,37,38,36,36,36,36,36,36,38,38,38,36,36,36,36,36,36,31,38,38,38,36,36261,"SC",27
"FRANCISCO ALVES",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6350,"PR",27
"FRANCO DA ROCHA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,149502,"SP",27
"GALIA",2,3,4,3,4,2,2,2,4,3,4,2,4,2,3,2,1,2,2,2,2,4,2,4,4,2,4,6776,"SP",27
"GARCA",3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,3,1,3,3,2,3,2,3,3,2,44582,"SP",27
"GAROPABA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22082,"SC",27
"GASTAO VIDIGAL",3,2,4,2,5,2,4,5,6,2,6,3,6,4,2,2,2,2,3,3,3,6,3,5,6,2,6,4683,"SP",27
"GAVIAO PEIXOTO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4739,"SP",27
"GENERAL SALGADO",9,4,16,4,16,8,8,8,15,4,15,11,16,8,9,10,4,8,9,8,8,16,8,14,16,9,8,10951,"SP",27
"GOIOERE",5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,29664,"PR",27
"GOVERNADOR VALADARES",115,89,114,89,88,115,113,115,89,89,89,115,89,81,80,81,89,115,88,114,112,54,113,115,115,79,88,280901,"MG",27
"GRAO PARA",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6537,"SC",27
"GUAPIARA",49,43,91,41,93,46,46,48,90,44,89,47,93,47,47,47,27,46,47,46,46,93,45,95,92,48,93,17640,"SP",27
"GUARACAI",25,25,30,30,25,25,25,25,25,25,25,25,25,20,20,20,25,25,25,25,25,25,25,25,25,20,25,8466,"SP",27
"GUARAMIRIM",2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,42872,"SC",27
"GUARANI D'OESTE",3,5,5,5,6,3,3,3,5,5,5,3,6,3,3,3,3,3,3,3,3,6,3,6,6,3,6,2017,"SP",27
"GUARANTA DO NORTE",5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,34500,"MT",27
"GUARARAPES",3,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,32654,"SP",27
"GUARAREMA",7,6,16,7,13,8,8,7,9,7,9,8,13,7,8,5,5,8,5,8,8,13,8,16,16,8,12,28978,"SP",27
"GUARATINGUETA",3,2,2,2,2,3,3,3,2,2,2,3,2,3,3,2,2,3,2,3,3,2,3,3,3,3,2,120417,"SP",27
"GUAREI",4,5,5,3,4,4,4,4,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,17551,"SP",27
"GUARUJA",2,1,6,1,3,2,2,2,1,1,1,2,3,2,1,2,1,2,2,2,2,3,1,3,3,2,3,315563,"SP",27
"GUARULHOS",30,24,30,24,24,29,29,31,30,24,30,30,30,28,29,29,24,29,24,29,29,23,28,30,31,29,23,1349113,"SP",27
"GUATAMBU",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,4733,"SC",27
"GUIA LOPES DA LAGUNA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9991,"MS",27
"GUZOLANDIA",3,2,4,3,5,3,3,3,5,2,5,3,5,3,3,3,2,3,3,3,3,5,3,3,3,3,5,5179,"SP",27
"HERVAL D'OESTE",8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,22443,"SC",27
"HOLAMBRA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14012,"SP",27
"HONORIO SERPA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5643,"PR",27
"IARAS",3,2,4,1,3,2,2,3,4,2,4,3,4,3,3,2,1,2,2,2,2,3,1,2,4,3,3,8484,"SP",27
"IBATE",4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,8,4,4,8,8,4,34226,"SP",27
"IBIAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1967,"SC",27
"IBICARE",2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,3,2,2,2,1,3268,"SC",27
"IBIRA",6,4,6,4,7,6,6,6,7,4,7,6,7,8,6,7,4,4,5,4,4,7,5,9,10,6,7,12096,"SP",27
"IBITURUNA",8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,7,3018,"MG",27
"IGARAPAVA",16,17,25,16,15,15,15,16,16,16,18,17,17,16,17,16,15,15,15,15,15,15,15,16,17,17,15,30073,"SP",27
"IGARATA",19,16,23,16,18,21,21,22,18,16,18,21,17,18,20,15,14,21,16,22,22,18,22,23,24,19,18,9443,"SP",27
"IMBITUBA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44076,"SC",27
"IMBITUVA",13,12,5,3,11,12,13,12,3,13,13,5,3,13,13,13,13,13,12,13,13,11,13,13,5,13,13,31719,"PR",27
"IMBUIA",4,2,4,2,2,4,4,4,2,2,2,4,2,4,4,4,2,2,4,2,2,2,4,4,4,4,2,6133,"SC",27
"INDAIATUBA",4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,239602,"SP",27
"INDIAPORA",4,6,10,6,10,4,4,4,8,6,8,4,10,6,4,7,4,4,4,4,4,9,4,10,10,4,10,3951,"SP",27
"INOCENCIA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7618,"MS",27
"IOMERE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2917,"SC",27
"IPAUSSU",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14766,"SP",27
"IPIGUA",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5178,"SP",27
"IPIRA",6,3,6,2,2,6,6,6,2,2,2,6,2,6,6,5,2,5,2,2,2,2,6,6,6,5,1,62631,"BA",27
"IPORA DO OESTE",7,5,7,5,5,7,7,7,5,5,5,7,5,7,7,6,5,5,5,5,5,5,7,7,7,7,5,8930,"SC",27
"IPUA",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15932,"SP",27
"IPUACU",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,7400,"SC",27
"IRACEMINHA",7,4,7,4,4,7,7,7,4,3,3,7,4,6,5,5,4,4,4,4,4,4,7,7,7,5,4,4067,"SC",27
"IRANI",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,10285,"SC",27
"IRAPUA",2,3,5,3,5,2,2,2,4,3,4,2,5,4,2,4,2,2,2,2,2,5,2,5,5,2,5,7878,"SP",27
"IRATI",6,6,4,6,6,6,6,6,6,6,6,4,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,60425,"PR",27
"IRINEOPOLIS",3,2,1,2,2,3,3,3,2,2,2,3,2,2,1,1,2,2,2,2,2,2,3,3,1,1,2,11133,"SC",27
"ITA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6275,"SC",27
"ITABERA",16,14,22,14,20,14,14,14,19,13,19,12,22,14,14,14,10,14,14,14,14,22,14,23,22,13,21,17879,"SP",27
"ITABIRA",10,8,8,9,10,10,8,10,8,8,8,8,8,10,10,10,10,8,10,10,12,11,10,10,9,10,8,119285,"MG",27
"ITABIRITO",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50816,"MG",27
"ITAI",4,4,6,3,6,5,6,4,6,3,6,4,6,4,4,6,3,6,5,5,5,6,6,6,6,4,6,26526,"SP",27
"ITAIOPOLIS",12,9,12,9,9,12,12,12,9,9,9,12,9,12,12,12,9,9,9,9,9,9,12,12,12,12,9,21506,"SC",27
"ITAPEMIRIM",31,31,31,31,31,31,31,31,31,23,21,21,24,22,14,14,31,31,21,30,21,30,22,31,30,13,31,34628,"ES",27
"ITAPETINGA",3,1,1,1,1,3,3,1,1,1,1,3,1,3,3,3,1,3,3,3,3,1,3,1,3,3,1,77533,"BA",27
"ITAPETININGA",29,27,46,27,41,31,30,31,35,27,38,30,41,29,30,29,16,29,31,30,30,42,30,42,41,30,42,160070,"SP",27
"ITAPEVA",25,20,37,21,35,25,25,26,36,21,35,25,35,25,24,25,10,25,25,25,25,35,26,36,34,25,35,9618,"MG",27
"ITAPEVI",22,12,22,12,12,21,21,23,23,12,23,22,22,22,22,21,11,21,12,21,20,12,21,23,23,22,12,229502,"SP",27
"ITAPIRA",4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,4,4,5,4,4,73844,"SP",27
"ITAPIRANGA",20,20,20,20,20,20,12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,18,20,20,20,9125,"AM",27
"ITAPOA",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,19355,"SC",27
"ITAPOLIS",6,6,10,6,6,6,6,6,10,6,3,10,6,6,6,6,6,6,6,6,6,10,6,7,10,10,6,42747,"SP",27
"ITAPORA",8,4,4,4,8,8,8,8,4,4,4,6,8,7,8,8,5,8,9,8,8,9,8,4,9,8,8,23539,"MS",27
"ITAPORANGA",20,13,33,13,31,19,19,17,30,13,30,18,33,18,18,19,8,18,19,18,17,32,19,33,33,17,32,24842,"PB",27
"ITAPURA",1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,4802,"SP",27
"ITAQUAQUECETUBA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,360657,"SP",27
"ITATIBA",9,7,8,7,9,9,9,9,9,7,9,9,9,9,9,7,7,9,9,9,9,9,9,8,9,9,9,116503,"SP",27
"ITATINGA",9,8,11,7,10,8,8,9,10,8,10,9,11,10,9,10,5,8,8,8,8,10,8,11,11,8,10,20158,"SP",27
"ITAUNA",99,98,99,98,96,102,99,100,96,97,98,98,97,102,101,101,98,98,97,95,96,96,88,101,100,101,96,92696,"MG",27
"ITIRAPINA",19,19,19,19,19,19,19,19,19,19,19,19,19,21,19,19,19,19,19,19,19,19,19,22,21,20,19,17589,"SP",27
"ITOBI",4,2,6,1,3,3,3,3,3,1,2,3,3,3,3,3,1,3,2,2,3,3,3,2,4,4,3,7853,"SP",27
"ITU",35,34,36,34,34,35,34,35,34,34,34,35,34,35,36,34,34,34,34,33,34,34,35,35,36,38,34,170157,"SP",27
"ITUIUTABA",12,7,11,7,7,11,11,10,7,7,7,7,7,7,8,12,7,7,7,7,7,7,11,10,11,10,7,104526,"MG",27
"ITUPEVA",94,94,96,94,94,95,94,95,95,94,93,94,95,94,94,94,94,94,94,94,94,94,94,96,95,95,94,57031,"SP",27
"IVAI",4,3,3,3,3,4,4,1,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,3,13797,"PR",27
"JABORANDI",4,3,6,3,6,4,4,4,5,3,5,4,6,4,4,4,3,4,4,4,4,6,4,5,6,4,6,9056,"BA",27
"JABOTICABAL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76563,"SP",27
"JACAREI",15,5,12,6,5,12,12,12,7,5,7,11,8,12,12,15,7,8,5,9,10,5,12,10,13,15,6,229851,"SP",27
"JACI",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6728,"SP",27
"JACINTO MACHADO",6,6,5,6,6,6,6,6,4,5,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,10539,"SC",27
"JAGUARIAIVA",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,34822,"PR",27
"JAGUARIUNA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,54204,"SP",27
"JAGUARUNA",2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,19527,"SC",27
"JALES",5,2,5,2,6,5,5,5,5,2,5,5,7,5,3,4,2,5,5,5,5,7,5,7,7,5,7,49110,"SP",27
"JAMBEIRO",16,12,25,12,26,16,16,16,25,12,25,16,26,17,16,16,8,16,16,16,16,26,16,26,26,16,26,6305,"SP",27
"JAPARATUBA",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18656,"SE",27
"JARDIM OLINDA",2,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1396,"PR",27
"JARDINOPOLIS",7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,42904,"SP",27
"JARINU",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28540,"SP",27
"JAU",1,12,12,12,4,5,4,4,8,12,1,13,4,9,1,1,4,4,12,4,9,13,4,8,13,10,12,146338,"SP",27
"JOACABA",17,14,17,14,14,18,18,20,14,14,13,18,14,18,18,18,14,14,15,14,14,14,18,20,17,18,14,29608,"SC",27
"JOANOPOLIS",9,9,14,8,13,10,10,9,16,9,15,10,14,12,9,12,7,10,10,10,10,14,10,14,14,10,14,12947,"SP",27
"JOAO RAMALHO",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4468,"SP",27
"JUARA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33851,"MT",27
"JUNDIAI",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,409497,"SP",27
"JUNQUEIROPOLIS",3,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3,20353,"SP",27
"JUPIA",7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,5,7,5,7,2127,"SC",27
"JUQUITIBA",5,1,8,1,1,3,3,4,1,1,1,6,1,3,5,3,1,3,1,5,4,1,5,5,8,5,1,31027,"SP",27
"LAGARTO",29,29,21,29,29,29,29,29,29,29,29,29,29,29,29,26,29,29,29,29,29,29,29,29,29,29,29,104099,"SE",27
"LAGES",6,4,6,4,4,7,6,6,4,4,4,6,4,6,6,6,4,4,4,4,4,4,6,6,6,6,4,158508,"SC",27
"LAGOINHA",4,2,4,2,5,4,4,4,5,2,5,4,5,4,4,4,2,4,4,4,4,5,4,4,5,5,5,4943,"SP",27
"LAMBARI",5,3,5,3,3,5,3,3,3,3,3,5,3,3,3,2,3,3,3,3,3,1,3,2,5,3,2,20870,"MG",27
"LARANJAL PAULISTA",14,10,19,10,17,15,14,14,19,10,19,14,17,14,14,14,10,14,14,14,14,17,14,16,17,14,17,27890,"SP",27
"LARANJEIRAS DO SUL",4,2,1,1,1,2,2,4,1,2,2,4,2,2,2,2,1,1,1,1,1,1,2,2,6,2,1,32379,"PR",27
"LAVINIA",2,4,4,5,2,3,2,4,4,3,4,4,2,2,5,3,2,2,2,2,2,3,4,3,4,4,4,11156,"SP",27
"LEBON REGIS",8,7,8,7,7,8,8,8,7,7,7,8,7,8,8,8,7,7,8,7,7,7,7,8,8,8,7,12133,"SC",27
"LEME",41,41,42,41,42,42,42,42,42,42,42,41,42,39,39,43,42,42,42,42,42,42,42,44,42,42,42,101184,"SP",27
"LENCOIS PAULISTA",66,67,67,65,68,66,66,68,57,67,67,67,66,54,67,52,66,66,67,66,68,67,66,67,67,68,67,67185,"SP",27
"LEOBERTO LEAL",2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,1,3140,"SC",27
"LEOPOLIS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4131,"PR",27
"LINDOESTE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5071,"PR",27
"LINDOIA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7695,"SP",27
"LINDOIA DO SUL",4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4615,"SC",27
"LINS",5,9,13,9,10,5,5,5,5,9,5,5,10,9,5,7,5,5,5,5,5,10,6,10,11,5,10,77021,"SP",27
"LOBATO",2,1,1,1,4,2,3,2,1,1,1,2,3,3,1,1,1,1,2,2,1,1,1,1,2,2,1,4751,"PR",27
"LORENA",5,13,15,13,13,5,5,5,13,13,12,5,14,14,6,14,3,5,5,5,5,13,5,13,15,5,13,87980,"SP",27
"LOURDES",3,3,6,3,6,3,3,3,6,3,6,3,6,3,3,3,3,3,3,3,3,6,3,6,6,3,6,2270,"SP",27
"LOUVEIRA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45922,"SP",27
"LUCIANOPOLIS",2,6,6,6,7,3,2,2,4,6,6,2,7,3,2,3,2,3,2,2,2,7,2,7,7,1,7,2381,"SP",27
"LUIS ANTONIO",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14021,"SP",27
"MACATUBA",2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,2,3,17111,"SP",27
"MACAUBAL",22,7,22,6,6,22,22,22,8,7,7,22,7,9,23,22,6,21,6,22,22,6,20,8,22,22,6,8086,"SP",27
"MACEDONIA",6,5,9,5,9,6,6,6,7,4,7,6,9,6,6,6,4,6,6,6,6,10,6,8,9,6,9,3736,"SP",27
"MACIEIRA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,5,4,3,1799,"SC",27
"MAGDA",10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3185,"SP",27
"MAIRINQUE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46567,"SP",27
"MALLET",25,14,14,7,13,23,25,25,7,13,13,23,11,15,25,25,12,14,13,14,14,13,23,13,25,25,13,13738,"PR",27
"MANGUEIRINHA",1,4,4,1,4,6,5,6,1,4,4,1,1,1,3,1,4,4,4,1,4,5,1,2,6,1,4,17269,"PR",27
"MARACAJU",3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,44994,"MS",27
"MARAVILHA",14,9,14,9,9,14,14,14,9,9,9,16,9,16,17,15,9,9,11,9,9,9,17,14,15,15,9,9418,"AL",27
"MARCELANDIA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10422,"MT",27
"MARIANA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,59857,"MG",27
"MARILIA",4,4,4,6,4,5,5,4,6,4,4,4,4,5,5,4,4,4,4,5,5,5,4,4,5,5,5,235234,"SP",27
"MARINGA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,406693,"PR",27
"MARINOPOLIS",5,4,5,4,6,3,4,5,6,4,6,4,5,3,3,4,3,4,4,4,4,6,4,6,6,4,6,2140,"SP",27
"MARLIERIA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4129,"MG",27
"MARUMBI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4765,"PR",27
"MATAO",4,1,4,1,1,4,4,4,4,1,4,4,4,4,4,4,1,4,1,4,4,1,4,1,4,4,1,82307,"SP",27
"MATELANDIA",2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,17640,"PR",27
"MATOS COSTA",2,3,3,3,2,2,2,2,2,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2,2,2,2,2614,"SC",27
"MATUPA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15870,"MT",27
"MEDIANEIRA",4,2,2,2,2,4,4,4,2,2,2,4,2,4,4,4,2,2,2,2,2,2,4,2,4,4,2,45586,"PR",27
"MELEIRO",5,5,4,4,3,4,3,4,4,5,5,5,5,5,5,4,4,4,4,4,4,3,3,4,4,4,3,7047,"SC",27
"MERIDIANO",9,10,12,10,12,9,9,8,12,10,12,9,12,11,8,11,7,9,9,9,9,12,9,12,12,9,11,3892,"SP",27
"MESOPOLIS",3,2,5,2,5,3,3,3,4,2,4,3,5,4,3,3,2,3,3,3,3,5,3,5,5,3,5,1926,"SP",27
