"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"CANAS",2,3,3,3,3,2,2,2,3,2,3,2,3,3,2,3,2,2,2,2,2,3,2,3,3,2,3,4975,"SP",27
"CANOINHAS",5,4,5,4,4,5,5,5,4,4,4,5,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4,54403,"SC",27
"CANTAGALO",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4517,"MG",27
"CAPANEMA",4,3,3,1,3,4,4,4,1,3,3,4,1,1,4,4,3,3,3,3,3,3,4,3,4,4,3,67150,"PA",27
"CAPAO BONITO",10,16,24,16,23,10,10,10,19,15,19,10,23,10,10,10,9,10,10,10,10,23,10,22,22,10,23,47463,"SP",27
"CAPELA DO ALTO",14,9,14,9,14,14,14,14,12,9,12,14,14,14,11,14,9,14,14,14,14,14,14,14,14,14,14,20005,"SP",27
"CAPINZAL",4,2,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,22524,"SC",27
"CARACOL",1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,10729,"PI",27
"CARAGUATATUBA",13,5,7,5,7,13,13,13,6,5,6,13,6,13,13,13,4,7,7,7,7,7,13,7,13,13,7,116786,"SP",27
"CASA BRANCA",24,24,24,24,24,24,24,24,24,24,24,35,24,24,24,24,24,24,24,24,24,36,24,24,36,36,24,30144,"SP",27
