ibgeCode,>2ppb,=2ppb,1ppb<x<2ppb,=1ppb,0.1ppb<x<1ppb,=0.1ppb,0ppb<x<0.1ppb,=0ppb,all Detections,all Measurements,Population,UF,name
230740,1,0,0,0,0,0,0,0,1,1,24597,CE,Jucás
230750,1,0,0,0,0,0,0,0,1,1,31335,CE,Lavras da Mangabeira
230760,1,0,0,0,0,0,0,0,1,1,58915,CE,Limoeiro do Norte
230763,1,0,0,0,0,0,0,0,1,1,19800,CE,Madalena
230765,1,0,0,0,0,0,0,0,1,1,224804,CE,Maracanaú
230770,1,0,0,0,0,0,0,0,1,1,126486,CE,Maranguape
230780,1,0,0,0,0,0,0,0,1,1,26981,CE,Marco
230790,1,0,0,0,0,0,0,0,1,1,11082,CE,Martinópole
230800,1,0,0,0,0,0,0,0,1,1,38210,CE,Massapê
230810,1,0,0,0,0,0,0,0,1,1,46548,CE,Mauriti
230820,1,0,0,0,0,0,0,0,1,1,14948,CE,Meruoca
230830,1,0,0,0,0,0,0,0,1,1,28231,CE,Milagres
230835,1,0,0,0,0,0,0,0,1,1,13136,CE,Milhã
230837,1,0,0,0,0,0,0,0,1,1,13583,CE,Miraíma
230840,1,0,0,0,0,0,0,0,1,1,35409,CE,Missão Velha
230850,1,0,0,0,0,0,0,0,1,1,43735,CE,Mombaça
230860,1,0,0,0,0,0,0,0,1,1,17038,CE,Monsenhor Tabosa
230870,1,0,0,0,0,0,0,0,1,1,61548,CE,Morada Nova
230880,1,0,0,0,0,0,0,0,1,1,8636,CE,Moraújo
230890,1,0,0,0,0,0,0,0,1,1,22222,CE,Morrinhos
230900,1,0,0,0,0,0,0,0,1,1,14377,CE,Mucambo
230910,1,0,0,0,0,0,0,0,1,1,12831,CE,Mulungu
230920,1,0,0,0,0,0,0,0,1,1,15433,CE,Nova Olinda
230930,1,0,0,0,0,0,0,0,1,1,32035,CE,Nova Russas
230940,1,0,0,0,0,0,0,0,1,1,28353,CE,Novo Oriente
230945,1,0,0,0,0,0,0,0,1,1,25394,CE,Ocara
230950,1,0,0,0,0,0,0,0,1,1,21292,CE,Orós
230960,1,0,0,0,0,0,0,0,1,1,70911,CE,Pacajus
230970,1,0,0,0,0,0,0,0,1,1,82824,CE,Pacatuba
230980,1,0,0,0,0,0,0,0,1,1,11960,CE,Pacoti
230990,1,0,0,0,0,0,0,0,1,1,6202,CE,Pacujá
231000,1,0,0,0,0,0,0,0,1,1,9285,CE,Palhano
231010,1,0,0,0,0,0,0,0,1,1,13145,CE,Palmácia
231020,1,0,0,0,0,0,0,0,1,1,33894,CE,Paracuru
231025,1,0,0,0,0,0,0,0,1,1,32515,CE,Paraipaba
231030,1,0,0,0,0,0,0,0,1,1,31137,CE,Parambu
231040,1,0,0,0,0,0,0,0,1,1,11578,CE,Paramoti
231050,1,0,0,0,0,0,0,0,1,1,42841,CE,Pedra Branca
231060,1,0,0,0,0,0,0,0,1,1,8956,CE,Penaforte
231070,1,0,0,0,0,0,0,0,1,1,37077,CE,Pentecoste
231080,1,0,0,0,0,0,0,0,1,1,16163,CE,Pereiro
231085,1,0,0,0,0,0,0,0,1,1,20644,CE,Pindoretama
231090,1,0,0,0,0,0,0,0,1,1,16731,CE,Piquet Carneiro
231095,1,0,0,0,0,0,0,0,1,1,10784,CE,Pires Ferreira
231100,1,0,0,0,0,0,0,0,1,1,12243,CE,Poranga
231110,1,0,0,0,0,0,0,0,1,1,14921,CE,Porteiras
231120,1,0,0,0,0,0,0,0,1,1,10918,CE,Potengi
231123,1,0,0,0,0,0,0,0,1,1,6356,CE,Potiretama
231126,1,0,0,0,0,0,0,0,1,1,20860,CE,Quiterianópolis
231130,1,0,0,0,0,0,0,0,1,1,86605,CE,Quixadá
231135,1,0,0,0,0,0,0,0,1,1,14860,CE,Quixelô
231140,1,0,0,0,0,0,0,0,1,1,78658,CE,Quixeramobim
231150,1,0,0,0,0,0,0,0,1,1,21876,CE,Quixeré
231160,1,0,0,0,0,0,0,0,1,1,27441,CE,Redenção
231170,1,0,0,0,0,0,0,0,1,1,18769,CE,Reriutaba
231180,1,0,0,0,0,0,0,0,1,1,76475,CE,Russas
231190,1,0,0,0,0,0,0,0,1,1,15678,CE,Saboeiro
231195,1,0,0,0,0,0,0,0,1,1,16331,CE,Salitre
231200,1,0,0,0,0,0,0,0,1,1,32023,CE,Santana do Acaraú
231210,1,0,0,0,0,0,0,0,1,1,17489,CE,Santana do Cariri
231220,1,0,0,0,0,0,0,0,1,1,43360,CE,Santa Quitéria
231230,1,0,0,0,0,0,0,0,1,1,46648,CE,São Benedito
231240,1,0,0,0,0,0,0,0,1,1,48265,CE,São Gonçalo do Amarante
231250,1,0,1,0,0,0,0,0,1,1,7621,CE,São João do Jaguaribe
231260,1,0,0,0,0,0,0,0,1,1,12849,CE,São Luís do Curu
231270,1,0,0,0,0,0,0,0,1,1,26447,CE,Senador Pompeu
231280,1,0,0,0,0,0,0,0,1,1,7513,CE,Senador Sá
231290,1,0,0,0,0,0,0,0,1,1,205529,CE,Sobral
231300,1,0,0,0,0,0,0,0,1,1,18158,CE,Solonópole
231310,1,0,0,0,0,0,0,0,1,1,30489,CE,Tabuleiro do Norte
231320,1,0,0,0,0,0,0,0,1,1,25525,CE,Tamboril
231325,1,0,0,0,0,0,0,0,1,1,8852,CE,Tarrafas
231330,1,0,0,0,0,0,0,0,1,1,58119,CE,Tauá
231335,1,0,0,0,0,0,0,0,1,1,18902,CE,Tejuçuoca
231340,1,0,0,0,0,0,0,0,1,1,74719,CE,Tianguá
231350,1,0,0,0,0,0,0,0,1,1,55207,CE,Trairi
231355,1,0,0,0,0,0,0,0,1,1,15935,CE,Tururu
231360,1,0,0,0,0,0,0,0,1,1,34332,CE,Ubajara
231370,1,0,0,0,0,0,0,0,1,1,7671,CE,Umari
231375,1,0,0,0,0,0,0,0,1,1,19679,CE,Umirim
231380,1,0,0,0,0,0,0,0,1,1,21609,CE,Uruburetama
231390,1,0,0,0,0,0,0,0,1,1,13677,CE,Uruoca
231395,1,0,0,0,0,0,0,0,1,1,18239,CE,Varjota
231400,1,0,0,0,0,0,0,0,1,1,40440,CE,Várzea Alegre
231410,1,0,0,0,0,0,0,0,1,1,60030,CE,Viçosa do Ceará
240010,1,0,0,0,0,0,0,0,1,1,11333,RN,Acari
240120,1,0,0,0,0,0,0,0,1,1,14307,RN,Arês
240140,1,0,0,0,0,0,0,0,1,1,9309,RN,Baía Formosa
240145,1,0,0,0,0,0,0,0,1,1,28085,RN,Baraúna
240165,1,0,0,0,0,0,0,0,1,1,2307,RN,Bodó
240200,1,0,0,0,0,0,0,0,1,1,68222,RN,Caicó
240210,1,0,0,0,0,0,0,0,1,1,11244,RN,Campo Redondo
240220,1,0,0,0,0,0,0,0,1,1,34267,RN,Canguaretama
240300,1,0,0,0,0,0,0,0,1,1,8147,RN,Cruzeta
240310,1,0,0,0,0,0,0,0,1,1,45228,RN,Currais Novos
240325,1,0,0,0,0,0,0,0,1,1,254709,RN,Parnamirim
240360,1,0,0,0,0,0,0,0,1,1,28331,RN,Extremoz
240380,1,0,0,0,0,0,0,0,1,1,9262,RN,Florânia
240420,1,0,0,0,0,0,0,0,1,1,26068,RN,Goianinha
240550,1,0,0,0,0,0,0,0,1,1,2663,RN,Jardim de Angicos
240570,1,0,0,0,0,0,0,0,1,1,12579,RN,Jardim do Seridó
240580,1,0,0,0,0,0,0,0,1,1,35087,RN,João Câmara
240615,1,0,0,0,0,0,0,0,1,1,3910,RN,Jundiá
240650,1,0,0,0,0,0,0,0,1,1,15590,RN,Lagoa Nova
240680,1,0,0,0,0,0,0,0,1,1,4822,RN,Lajes Pintadas
240710,1,0,0,0,0,0,0,0,1,1,80031,RN,Macaíba
240750,1,0,0,0,0,0,0,0,1,1,12223,RN,Maxaranguape
240770,1,0,0,0,0,0,0,0,1,1,11503,RN,Montanhas
240800,1,0,0,0,0,0,0,0,1,1,295619,RN,Mossoró
240810,1,0,0,0,0,0,0,0,1,1,885180,RN,Natal
240820,1,0,0,0,0,0,0,0,1,1,27372,RN,Nísia Floresta
240830,1,0,0,0,0,0,0,0,1,1,37695,RN,Nova Cruz
240880,1,0,0,0,0,0,0,0,1,1,5258,RN,Parazinho
240890,1,0,0,0,0,0,0,0,1,1,21669,RN,Parelhas
240920,1,0,0,0,0,0,0,0,1,1,3109,RN,Passagem
240933,1,0,0,0,0,0,0,0,1,1,5500,RN,Santa Maria
240950,1,0,0,0,0,0,0,0,1,1,3356,RN,Pedra Grande
241010,1,0,0,0,0,0,0,0,1,1,15418,RN,Poço Branco
241040,1,0,0,0,0,0,0,0,1,1,9568,RN,Pureza
241120,1,0,0,0,0,0,0,0,1,1,39667,RN,Santa Cruz
241142,1,0,0,0,0,0,0,0,1,1,2701,RN,Santana do Seridó
241170,1,0,0,0,0,0,0,0,1,1,4425,RN,São Bento do Trairí
241220,1,0,0,0,0,0,0,0,1,1,43995,RN,São José de Mipibu
241260,1,0,0,0,0,0,0,0,1,1,17572,RN,São Paulo do Potengi
241335,1,0,0,0,0,0,0,0,1,1,11838,RN,Serra do Mel
241350,1,0,0,0,0,0,0,0,1,1,6422,RN,Serrinha
241370,1,0,0,0,0,0,0,0,1,1,5528,RN,Sítio Novo
241400,1,0,0,0,0,0,0,0,1,1,15866,RN,Tangará
241415,1,0,0,0,0,0,0,0,1,1,5912,RN,Tenente Laurentino Cruz
241420,1,0,0,0,0,0,0,0,1,1,13895,RN,Tibau do Sul
241480,1,0,0,0,0,0,0,0,1,1,12371,RN,Vera Cruz
250110,1,0,0,0,0,0,0,0,1,1,22776,PB,Areia
250150,1,0,0,0,0,0,0,0,1,1,21156,PB,Bananeiras
