"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF","name"
250660,0,0,0,0,0,0,0,1,1,1,5925,"PB","Ibiara"
250680,0,0,0,0,0,0,0,1,1,1,18163,"PB","Ingá"
250690,0,0,0,0,0,0,0,1,1,1,24475,"PB","Itabaiana"
250720,0,0,0,0,0,0,0,1,1,1,10876,"PB","Itatuba"
250730,0,0,0,0,0,0,0,1,1,1,14378,"PB","Jacaraú"
250740,0,0,0,0,0,0,0,1,1,1,7742,"PB","Jericó"
250750,0,0,0,0,0,0,0,1,1,1,811598,"PB","João Pessoa"
250800,0,0,0,0,0,0,0,1,1,1,9868,"PB","Juru"
250810,0,0,0,0,0,0,0,1,1,1,4666,"PB","Lagoa"
250890,0,0,0,0,0,0,0,1,1,1,45005,"PB","Mamanguape"
250900,0,0,0,0,0,0,0,1,1,1,11120,"PB","Manaíra"
250920,0,0,0,0,0,0,0,1,1,1,13853,"PB","Massaranduba"
250960,0,0,0,0,0,0,0,1,1,1,4825,"PB","Monte Horebe"
250970,0,0,0,0,0,0,0,1,1,1,33294,"PB","Monteiro"
250990,0,0,0,0,0,0,0,1,1,1,10460,"PB","Natuba"
251020,0,0,0,0,0,0,0,1,1,1,5944,"PB","Nova Olinda"
251040,0,0,0,0,0,0,0,1,1,1,6512,"PB","Olho d'Água"
251080,0,0,0,0,0,0,0,1,1,1,107790,"PB","Patos"
251090,0,0,0,0,0,0,0,1,1,1,12308,"PB","Paulista"
251120,0,0,0,0,0,0,0,1,1,1,28499,"PB","Pedras de Fogo"
251130,0,0,0,0,0,0,0,1,1,1,16091,"PB","Piancó"
251140,0,0,0,0,0,0,0,1,1,1,18737,"PB","Picuí"
251160,0,0,0,0,0,0,0,1,1,1,6607,"PB","Pilões"
251180,0,0,0,0,0,0,0,1,1,1,10585,"PB","Pirpirituba"
251210,0,0,0,0,0,0,0,1,1,1,32766,"PB","Pombal"
